No.;Gene name;Drug target oncokb
824;HOXC6;#N/A
825;EIF2AK2;#N/A
826;IL23A;#N/A
827;CELSR3;#N/A
828;SLC6A6;#N/A
829;MELTF;#N/A
830;COCH;#N/A
831;KRT6A;#N/A
832;GRIN3B;#N/A
833;RLF;#N/A
834;HOMER1;#N/A
835;HMGA1;x
836;CCR8;#N/A
837;COL9A2;#N/A
838;NLRP5;#N/A
839;POLR1C;#N/A
840;PLEKHG4;#N/A
841;PSAT1;#N/A
842;SPDYA;#N/A
843;LYPD3;#N/A
844;RPS15;x
845;TGFB2;#N/A
846;AXIN1;x
847;MATR3;#N/A
848;ITGB1;#N/A
849;ASPH;#N/A
850;ATR;x
851;SLC25A32;#N/A
852;HELB;#N/A
853;F2;#N/A
854;WDR75;#N/A
855;TELO2;#N/A
856;CDT1;#N/A
857;BAK1;#N/A
858;ARHGAP5;#N/A
859;RBM15;x
860;CHPF;#N/A
861;EIF6;#N/A
862;CCL2;#N/A
863;MUC16;#N/A
864;UTP23;#N/A
865;RAB22A;#N/A
866;SHPRH;#N/A
867;SHISA2;#N/A
868;STK4;#N/A
869;SLN;#N/A
870;MTBP;#N/A
871;GJA3;#N/A
872;PTPN12;#N/A
873;RNASE7;#N/A
874;KIAA1549;#N/A
875;IQUB;#N/A
876;YTHDF1;#N/A
877;KCNV2;#N/A
878;MLANA;#N/A
879;KIF20B;#N/A
880;PAX2;#N/A
881;ASIC3;#N/A
882;CSNK2A2;#N/A
883;RAG2;#N/A
884;HGF;x
885;LGALS3;#N/A
886;ZNF460;#N/A
887;ZBTB20;x
888;RHBDF2;#N/A
889;OGT;#N/A
890;RIF1;#N/A
891;LHX3;#N/A
892;RHBDF1;#N/A
893;GDAP2;#N/A
894;JAK1;x
895;STAU1;#N/A
896;CUL4A;x
897;MYD88;x
898;SKAP1;#N/A
899;OSBPL8;#N/A
900;MSI2;x
901;SPICE1;#N/A
902;TRPC4AP;#N/A
903;PEX3;#N/A
904;RICTOR;x
905;ZNF148;#N/A
906;USP37;#N/A
907;PSMF1;#N/A
908;NELFCD;#N/A
909;GAR1;#N/A
910;BICD1;#N/A
911;AKR1C4;#N/A
912;GIP;#N/A
913;IFNG;#N/A
914;WNT4;#N/A
915;CASP9;#N/A
916;CALML3;#N/A
917;WDR77;#N/A
918;GRIN2B;#N/A
919;TMEM67;#N/A
920;SERPINB7;#N/A
921;IL18;#N/A
922;PHIP;#N/A
923;SUMO2;#N/A
924;MMS22L;#N/A
925;ZFYVE16;#N/A
926;VPS13C;#N/A
927;SCLT1;#N/A
928;AGO2;#N/A
929;RPL8;#N/A
930;TBL3;#N/A
931;MCM2;#N/A
932;FBXL16;#N/A
933;NUDCD1;#N/A
934;LYAR;#N/A
935;SLC30A7;#N/A
936;ASCL2;#N/A
937;ITGB2;#N/A
938;RO60;#N/A
939;ORM1;#N/A
940;TAF2;#N/A
941;AR;x
942;ACD;#N/A
943;ACTR3B;#N/A
944;ZNF451;#N/A
945;IL10;#N/A
946;BIRC6;#N/A
947;FOXO1;x
948;HMOX1;#N/A
949;WDR24;#N/A
950;RLIM;#N/A
951;GDF15;#N/A
952;RNF169;#N/A
953;TMEM161A;#N/A
954;UNC5A;#N/A
955;FMR1;#N/A
956;BRWD1;#N/A
957;RAD51B;x
958;SLC12A2;#N/A
959;NAA25;#N/A
960;CLDN10;#N/A
961;HELLS;#N/A
962;SRPK1;#N/A
963;H2BC14;#N/A
964;TGFB3;#N/A
965;XAB2;#N/A
966;PMEPA1;#N/A
967;ZNF365;#N/A
968;NDP;#N/A
969;CCDC7;#N/A
970;ERBB2;x
971;SESN1;x
972;ANOS1;#N/A
973;AGTPBP1;#N/A
974;SIX6;#N/A
975;AHCTF1;#N/A
976;GLCE;#N/A
977;SOS1;x
978;CEP152;#N/A
979;ICAM1;#N/A
980;ILK;#N/A
981;BRIP1;x
982;TTN;#N/A
983;BARD1;x
984;CCNE1;x
985;CCDC85B;#N/A
986;PTPN4;#N/A
987;UBA6;#N/A
988;MSX2;#N/A
989;FSD2;#N/A
990;SYNE4;#N/A
991;BAD;#N/A
992;RPAP2;#N/A
993;ALG10;#N/A
994;PUS7L;#N/A
995;CHRNB3;#N/A
996;HSPA8;#N/A
997;PTDSS1;#N/A
998;GCAT;#N/A
999;ATF6;#N/A
1000;VIM;#N/A
1001;TLE1;#N/A
1002;ARAF;x
1003;EVI5;#N/A
1004;IFNA5;#N/A
1005;GNAI2;#N/A
1006;LMBR1;#N/A
1007;TH;#N/A
1008;TNPO1;#N/A
1009;CSRP3;#N/A
1010;NUFIP1;#N/A
1011;SMS;#N/A
1012;GOLGA7B;#N/A
1013;MAK;#N/A
1014;ZFPM1;#N/A
1015;CTPS2;#N/A
1016;S100A3;#N/A
1017;AGRN;#N/A
1018;TRPC5;#N/A
1019;MTOR;x
1020;PIGU;#N/A
1021;KNTC1;#N/A
1022;PPP2R2C;#N/A
1023;FMNL2;#N/A
1024;ASCC3;#N/A
1025;CHML;#N/A
1026;DDIT4;#N/A
1027;SOCS3;x
1028;RPA4;#N/A
1029;AP1S3;#N/A
1030;PABPC1L;#N/A
1031;GPR143;#N/A
1032;ZNF121;#N/A
1033;SPP1;#N/A
1034;DVL2;#N/A
1035;ATP11C;#N/A
1036;POMK;#N/A
1037;TTC29;#N/A
1038;EEA1;#N/A
1039;TAF4;#N/A
1040;MGA;x
1041;NFXL1;#N/A
1042;ZNF490;#N/A
1043;BID;#N/A
1044;TNFSF4;#N/A
1045;IL6R;#N/A
1046;ZNF770;#N/A
1047;RBM41;#N/A
1048;PHF6;x
1049;DGKH;#N/A
1050;FANCM;x
1051;ANAPC11;#N/A
1052;ECEL1;#N/A
1053;BFSP1;#N/A
1054;NKD1;#N/A
1055;HSP90B1;#N/A
1056;PIM1;#N/A
1057;GRM1;#N/A
1058;CLDN1;#N/A
1059;WDR36;#N/A
1060;SOS2;#N/A
1061;FANCB;#N/A
1062;NOTCH1;x
1063;DNAH14;#N/A
1064;OS9;#N/A
1065;IL4;#N/A
1066;SMYD3;x
1067;CAND1;#N/A
1068;MAGEB18;#N/A
1069;FOXO3;#N/A
1070;PDZD3;#N/A
1071;TLX1;x
1072;FUT8;#N/A
1073;ZBTB33;#N/A
1074;ASPM;#N/A
1075;INTS6;x
1076;RBM39;#N/A
1077;CYCS;#N/A
1078;NAB1;#N/A
1079;EYA1;#N/A
1080;KRTAP10-3;#N/A
1081;EN1;#N/A
1082;SUV39H2;#N/A
1083;USH2A;#N/A
1084;ATAD5;#N/A
1085;MYH6;#N/A
1086;TXLNG;#N/A
1087;CCNB3;x
1088;TNFRSF19;#N/A
1089;HMGA2;x
1090;GPATCH2;#N/A
1091;TGFBR2;x
1092;MDFI;#N/A
1093;ZFC3H1;#N/A
1094;PSG3;#N/A
1095;XPO4;#N/A
1096;AFP;#N/A
1097;CDCA7;#N/A
1098;KCNRG;#N/A
1099;FAM199X;#N/A
1100;PPP2R3B;#N/A
1101;ZNF280C;#N/A
1102;HAP1;#N/A
1103;CPA4;#N/A
1104;SP1;#N/A
1105;TNFRSF1B;#N/A
1106;EXOSC4;#N/A
1107;GPSM2;#N/A
1108;INPPL1;x
1109;POU4F1;#N/A
1110;WDR18;#N/A
1111;HS6ST2;#N/A
1112;TRAF5;x
1113;LSM7;#N/A
1114;DDX19B;#N/A
1115;PDS5B;x
1116;JAK3;x
1117;GRM2;#N/A
1118;MAP3K5;#N/A
1119;LBP;#N/A
1120;RHBDL1;#N/A
1121;FBXO2;#N/A
1122;HAUS6;#N/A
1123;MAP3K7;x
1124;POU2F1;#N/A
1125;VSNL1;#N/A
1126;CA8;#N/A
1127;ZNF7;#N/A
1128;NTMT1;#N/A
1129;CD36;#N/A
1130;MCL1;x
1131;BBOX1;#N/A
1132;BPIFB3;#N/A
1133;COL9A1;#N/A
1134;GSTM2;#N/A
1135;EIF2S1;#N/A
1136;DNAH11;#N/A
1137;RPGRIP1L;#N/A
1138;NOP56;#N/A
1139;MSX1;#N/A
