No.;Gene name;Oncogene or Tumor Suppresson gene
152;PMEPA1;#N/A
153;PRKACA;x
154;MAP7D2;#N/A
155;NFKB1;#N/A
156;PLCG1;x
157;AKT2;x
158;HAPLN1;#N/A
159;IKBKB;#N/A
160;LRRK2;#N/A
161;CITED1;#N/A
162;EREG;#N/A
163;FOXQ1;#N/A
164;DSC3;#N/A
165;STAT3;x
166;SHH;#N/A
167;SHC1;#N/A
168;SRC;x
169;AKT3;x
170;MAPK13;#N/A
171;HRK;#N/A
172;IL37;#N/A
173;SHC4;#N/A
174;PRKACB;#N/A
175;CTSH;#N/A
176;SHC3;#N/A
177;NOD1;#N/A
178;CDH2;x
179;NPC2;#N/A
180;MYC;x
181;DUSP6;#N/A
182;ITGB5;#N/A
183;ENTPD1;#N/A
184;CHUK;#N/A
185;F2R;#N/A
186;PLAU;#N/A
187;NTRK3;x
188;PHACTR3;#N/A
189;MAP2K2;x
190;IKBKG;#N/A
191;ALPP;#N/A
192;TGFA;#N/A
193;POSTN;#N/A
194;PPP1R1B;#N/A
195;DLX4;#N/A
196;KCNN4;#N/A
197;TRIB3;x
198;CD207;#N/A
199;TNFRSF1A;#N/A
200;ATF5;#N/A
201;COL5A1;#N/A
202;SGK3;#N/A
203;NGFR;#N/A
204;SYTL5;#N/A
205;GDF6;#N/A
206;TGFBR1;x
207;RIMS2;#N/A
208;TNFRSF10C;#N/A
209;MAPK14;#N/A
210;FGF4;x
211;HOXD10;#N/A
212;PSAT1;#N/A
213;CDKN1A;x
214;PENK;#N/A
215;LAMB3;#N/A
216;MAPK8;#N/A
217;TRAF2;#N/A
218;MUC1;#N/A
219;SMAD2;x
220;XDH;#N/A
221;CD1A;#N/A
222;RTN2;#N/A
223;NGB;#N/A
224;CHRM3;#N/A
225;BBC3;x
226;ALK;x
227;GSK3B;x
228;JUN;x
229;C1orf226;#N/A
230;PDE5A;#N/A
231;STAT1;#N/A
232;HS6ST2;#N/A
233;DCSTAMP;#N/A
234;FNDC4;#N/A
235;HEY2;#N/A
236;SIPA1L2;#N/A
237;TRAF6;#N/A
238;JAK2;x
239;AGR2;#N/A
240;SLC34A2;#N/A
241;GPR37;#N/A
242;MAPK9;#N/A
243;MDK;#N/A
244;NID1;#N/A
245;LPL;#N/A
246;ANO6;#N/A
247;CYP2S1;#N/A
248;HSP90AA1;x
249;RAC1;x
250;TUSC3;#N/A
251;ETV5;x
252;FGF2;x
253;IFNG;#N/A
254;ATP11A;#N/A
255;LOX;#N/A
256;SREBF1;#N/A
257;PROS1;#N/A
258;UGT3A2;#N/A
259;FBXO2;#N/A
260;EGF;#N/A
261;CHGB;#N/A
262;MED13;#N/A
263;MAPK11;#N/A
264;INF2;#N/A
265;ITGA3;#N/A
266;LAD1;#N/A
267;CCL5;#N/A
268;NFKBIA;x
269;ITGA11;#N/A
270;CACNG4;#N/A
271;MAPK10;#N/A
272;RUNX1;x
273;TGM3;#N/A
274;PTPN11;x
275;STAC;#N/A
276;COL1A1;x
277;IL17RD;#N/A
278;CALML5;#N/A
279;PPL;#N/A
280;ACP2;#N/A
281;BCL2;x
282;CRABP2;#N/A
283;SLC35F2;#N/A
284;TTC39B;#N/A
285;ICAM5;#N/A
286;MAST1;#N/A
287;KNG1;#N/A
288;DUSP9;#N/A
289;SPTBN2;#N/A
290;PTPRE;#N/A
291;CASP8;x
292;MMP1;#N/A
293;DSC2;#N/A
294;ERBB2;x
295;PRSS12;#N/A
296;AUTS2;#N/A
297;ST6GALNAC5;#N/A
298;MST1R;x
299;GALNT7;#N/A
300;ROR1;#N/A
301;PDGFRB;x
302;BAX;#N/A
303;PSG5;#N/A
304;MAPK12;#N/A
305;ARAF;x
306;ADCY8;#N/A
307;COL8A1;#N/A
308;HMGA2;x
309;EPS8;#N/A
310;KRT14;#N/A
311;KRT75;#N/A
312;GAP43;#N/A
313;NGEF;#N/A
314;SPECC1;#N/A
315;FOS;#N/A
316;SYN1;#N/A
317;RB1;x
318;GAB1;x
319;TLR4;#N/A
320;BIRC7;#N/A
321;RIPK1;#N/A
322;KCNQ3;#N/A
323;DHCR7;#N/A
324;ABTB2;#N/A
325;TRADD;#N/A
326;PDGFRA;x
327;CALML3;#N/A
328;TGFBI;#N/A
329;CTSC;#N/A
330;ELF3;x
331;NRGN;#N/A
332;TMEM92;#N/A
333;MYD88;x
334;SDK1;#N/A
335;FADD;#N/A
336;MMP10;#N/A
337;FASLG;#N/A
338;GDNF;#N/A
339;PECR;#N/A
340;MAP3K7;x
341;CCL22;#N/A
342;CLIP3;#N/A
343;CORO2A;#N/A
344;GDF15;#N/A
345;RAP1A;#N/A
346;LURAP1L;#N/A
347;TIMP1;#N/A
348;GJC1;#N/A
349;SMAD3;x
350;CBL;x
351;MYBPH;#N/A
352;CASP3;#N/A
353;SOS2;#N/A
354;IFNA5;#N/A
355;JAK1;x
356;NR4A1;#N/A
357;BAD;#N/A
358;MATN3;#N/A
359;CDK5RAP2;#N/A
360;S100A2;#N/A
361;EPPK1;#N/A
362;CLCA2;#N/A
363;RPS27A;#N/A
364;GRIK3;#N/A
365;SLC9A5;#N/A
366;SPOCK3;#N/A
367;LGALS3;#N/A
368;RYR1;#N/A
369;UBA52;#N/A
370;ALOX12B;x
371;VEGFA;x
372;LOXL2;#N/A
373;FGF1;x
374;KRT79;#N/A
375;PRKCA;#N/A
376;TUBB3;#N/A
377;CDK4;x
378;AKR1C1;#N/A
379;TNNI3;#N/A
380;PLCD3;#N/A
381;KRT19;#N/A
382;UBB;#N/A
383;NRCAM;#N/A
384;MDM2;x
385;LINGO1;#N/A
386;GALE;#N/A
387;ECM1;#N/A
388;PTK2;#N/A
389;RAB34;#N/A
390;IL12B;#N/A
391;RASGRF1;#N/A
392;CST2;#N/A
393;KLC3;#N/A
394;LCN1;#N/A
395;KLK5;#N/A
396;IL1A;#N/A
397;BNIPL;#N/A
398;DMD;#N/A
399;STAT5A;x
400;ZMAT3;#N/A
401;GABRB2;#N/A
402;STAT5B;x
403;ADAMTS12;#N/A
404;SERPINB7;#N/A
405;ZCCHC12;#N/A
406;ARMCX3;#N/A
407;KRT15;#N/A
408;RHOA;x
409;GLP1R;#N/A
410;IGFL1;#N/A
411;POU2F3;#N/A
412;PRKCB;x
413;TTR;#N/A
414;TGFB2;#N/A
415;STAM;#N/A
416;TPD52L1;#N/A
417;FGFR1;x
418;ANGPTL4;#N/A
419;SERPINA1;#N/A
420;PDGFB;x
421;MRAS;#N/A
422;FAS;x
423;LAMC2;#N/A
424;GABRA1;#N/A
425;CSPG4;#N/A
426;CRK;#N/A
427;NRXN3;#N/A
428;IRAK1;#N/A
429;PDLIM4;#N/A
430;TAB2;#N/A
431;IL12A;#N/A
432;EEF1A2;#N/A
433;VGLL1;#N/A
434;LRP6;x
435;KCNK16;#N/A
436;MYH10;#N/A
437;TBK1;#N/A
438;ENC1;#N/A
439;IL18;#N/A
440;E2F1;#N/A
441;IL6R;#N/A
442;FGF8;x
443;LTBP1;#N/A
444;CASP9;#N/A
445;FGF9;x
446;STK11;x
447;IL10;#N/A
448;SDC3;#N/A
449;RGS4;#N/A
450;SCEL;#N/A
451;KIT;x
452;ITGA2;#N/A
453;ITGB4;#N/A
454;CASP1;#N/A
455;FGF23;x
456;PLCD1;#N/A
457;FOXO3;#N/A
458;LIPH;#N/A
459;ITGB1;#N/A
460;F7;#N/A
461;ITPKA;#N/A
462;TRIM29;#N/A
463;IFNB1;#N/A
464;SDC4;#N/A
465;IGF2BP2;#N/A
466;LRP5;x
467;CDC42EP1;#N/A
468;FGF5;x
469;FOXO1;x
470;COL7A1;#N/A
471;PDPK1;#N/A
472;RAD23B;#N/A
473;CREBBP;x
474;MAGEE2;#N/A
475;RPTN;#N/A
476;YWHAB;#N/A
477;P4HA2;#N/A
478;CDK6;x
479;TGFB3;#N/A
480;CDC42;x
481;P3H3;#N/A
482;FYN;x
483;COL8A2;#N/A
484;PDZRN4;#N/A
485;ERBB4;x
486;CDK2;#N/A
487;SERPINB3;x
488;MTUS1;#N/A
489;PLD3;#N/A
490;HGF;x
491;ACTG1;x
492;PRMT8;#N/A
493;AHNAK2;#N/A
494;BAK1;#N/A
495;SERPINB5;#N/A
496;CRKL;x
497;TAB1;#N/A
498;CD1B;#N/A
499;TLR2;#N/A
500;PHLDA3;#N/A
501;CDC42EP3;#N/A
502;KRT17;#N/A
503;GNAI2;#N/A
504;GABRD;#N/A
505;FRS2;x
506;RPS6KB1;#N/A
507;HIP1;#N/A
508;RPS6KB2;x
509;MMP7;#N/A
510;ACTBL2;#N/A
511;SERPINB2;#N/A
512;HBEGF;#N/A
513;SYK;x
514;TNFRSF21;#N/A
515;MPZL2;#N/A
516;IRS1;x
517;SERPINB4;#N/A
518;PLCG2;x
519;SNCG;#N/A
520;KRT16;#N/A
521;SOCS3;x
522;IGF1;x
523;IRAK4;#N/A
524;SVOPL;#N/A
525;PPP1R7;#N/A
526;SUSD4;#N/A
527;NXN;#N/A
528;FGFR2;x
529;LYN;x
530;NSG1;#N/A
531;APP;#N/A
532;PLAG1;#N/A
533;TRPC5;#N/A
534;APLP1;#N/A
535;HDAC1;x
536;ACTB;#N/A
537;FRMPD4;#N/A
538;IFNAR2;#N/A
539;SQSTM1;x
540;LCK;x
541;IFNA13;#N/A
542;ENO3;#N/A
543;IGF1R;x
544;GRHL3;#N/A
545;IFNA14;#N/A
546;IL1R1;#N/A
547;PRKCG;#N/A
548;IL2;#N/A
549;PPP2CA;#N/A
550;MMP9;#N/A
551;MAP2K6;#N/A
552;CREB1;x
553;TRAF3;x
554;IFNA6;#N/A
555;IFNAR1;#N/A
556;GADD45A;#N/A
557;RSPO1;#N/A
558;IFNA8;#N/A
559;IFNA17;#N/A
560;IFNA4;#N/A
561;CCL3;#N/A
562;MAP2K7;#N/A
563;FOXI2;#N/A
564;CHPT1;#N/A
565;PSD2;#N/A
566;ATP12A;#N/A
567;TGFBR2;x
568;PPP2R1A;x
569;ITGB3;#N/A
570;PYCARD;#N/A
571;ENDOD1;#N/A
572;EDIL3;#N/A
573;BIRC2;#N/A
574;IRS2;x
575;INS;#N/A
576;CNGA3;#N/A
577;FGF10;x
578;IL4;#N/A
579;C10orf67;#N/A
580;CYSLTR2;x
581;KIAA0408;#N/A
582;APOH;#N/A
583;IFNGR1;x
584;RAP1B;#N/A
585;PPP2CB;#N/A
586;CST1;#N/A
587;PALM;#N/A
588;FLT3;x
589;KRT6B;#N/A
590;TYK2;x
591;VAV1;x
592;TICAM1;#N/A
593;E2F3;x
594;BID;#N/A
595;APOA2;#N/A
596;CCL3L1;#N/A
597;CXCL2;#N/A
598;MAP2K3;#N/A
599;INSR;x
600;NRP2;#N/A
601;CSF3;#N/A
602;HSP90AB1;#N/A
603;ROCK1;#N/A
604;GAB2;x
605;CD27;#N/A
606;XPR1;#N/A
607;IL6ST;x
608;NOTCH1;x
609;FGF3;x
610;WNT5A;#N/A
611;GADD45G;#N/A
612;ADRA2C;#N/A
613;BIRC3;x
614;QPCT;#N/A
615;KRT222;#N/A
616;AHSG;#N/A
617;SMAD4;x
618;IRF3;#N/A
619;SULT4A1;#N/A
620;PTK2B;#N/A
621;E2F2;#N/A
622;PPP1CA;#N/A
623;IQGAP1;x
624;NFATC1;#N/A
625;B3GNT3;#N/A
626;HDAC2;x
627;KLK10;#N/A
628;JAK3;x
629;IL5;#N/A
630;ARRB1;#N/A
631;CYCS;#N/A
632;BTC;#N/A
633;CD14;#N/A
634;MDFI;#N/A
635;STAT2;#N/A
636;CCR5;#N/A
637;ICAM1;#N/A
638;WNT3A;#N/A
639;CSF2RB;#N/A
640;MAP2K4;x
641;AR;x
642;FGF7;x
643;PPP2R1B;#N/A
644;HLA-DPA1;#N/A
645;GADD45B;#N/A
646;RAC2;x
647;KDR;x
648;CAMK2A;#N/A
649;TLR9;#N/A
650;PTPN6;#N/A
651;ATF2;#N/A
652;PPP3CB;#N/A
653;MMP3;#N/A
654;CD86;#N/A
655;PPP3CA;#N/A
656;IL2RG;#N/A
657;TCF7L2;x
658;NRG1;x
659;CSF1R;#N/A
660;SHC2;#N/A
661;CDC37;#N/A
662;HP;#N/A
663;IL3;x
664;THBS1;#N/A
665;FGF19;x
666;KLK7;#N/A
667;PRKACG;#N/A
668;ITGB2;#N/A
669;PRKAA1;#N/A
670;PPP2R2C;#N/A
671;ROCK2;#N/A
672;COL4A3;#N/A
673;CSF1;#N/A
674;ALDH3B1;#N/A
675;CAMK2D;#N/A
676;ANXA8;#N/A
677;AK1;#N/A
678;GNA12;x
679;CSF2RA;#N/A
680;PPP3R1;#N/A
681;NOD2;#N/A
682;KLK11;#N/A
683;BCL2L11;x
684;TIRAP;#N/A
685;CCR1;#N/A
686;CXCR3;#N/A
687;TLR3;#N/A
688;MEAF6;#N/A
689;TNFSF10;#N/A
690;EIF2AK2;#N/A
691;YWHAZ;#N/A
692;CD276;x
693;RBX1;#N/A
694;AXIN1;x
695;PRKCZ;#N/A
696;PRSS23;#N/A
697;PSG9;#N/A
698;ISYNA1;#N/A
699;IVL;#N/A
700;TAB3;#N/A
701;CD40;#N/A
702;IFNGR2;#N/A
703;HOXC13;#N/A
704;HPCAL4;#N/A
705;ADORA2A;#N/A
706;CAMK2G;#N/A
707;CAMK2B;#N/A
708;PSMC5;#N/A
709;EFNB2;#N/A
710;RASA1;x
711;APC;x
712;NOS2;#N/A
713;PLCB1;#N/A
714;ITGA2B;#N/A
715;FGFR4;x
716;ATF4;#N/A
717;MMP2;#N/A
718;ARRB2;#N/A
719;TNFAIP3;x
720;CX3CL1;#N/A
721;SIRT1;#N/A
722;PAK1;x
723;SLC4A7;#N/A
724;IL2RB;#N/A
725;IL23A;#N/A
726;SERPINA7;#N/A
727;PLCB2;#N/A
728;SKP1;#N/A
729;CCNE1;x
730;PSMD1;#N/A
731;NFKB2;#N/A
732;PML;x
733;ITGAV;#N/A
734;CCL19;#N/A
735;PIM1;#N/A
736;MLH1;x
737;PASK;#N/A
738;IKBKE;x
739;ESM1;#N/A
740;CYLD;x
741;MAPKAPK2;#N/A
742;TNFRSF1B;#N/A
743;RHEB;x
744;HMGB1;#N/A
745;MAP3K5;#N/A
746;MMP14;#N/A
747;RIPK2;#N/A
748;PDIA3;#N/A
749;CD80;#N/A
750;PLAUR;#N/A
751;HECTD1;#N/A
752;LMO3;#N/A
753;LEF1;x
754;RAB7A;#N/A
755;AREG;#N/A
756;HLA-E;#N/A
757;APAF1;#N/A
758;CUL1;#N/A
759;HLA-DMB;#N/A
760;NRG2;#N/A
761;CATSPER1;#N/A
762;HLA-DQA1;#N/A
763;FRS3;#N/A
764;CD4;#N/A
765;NFKBIB;#N/A
766;AGER;#N/A
767;TRAF1;#N/A
768;DVL2;#N/A
769;PSMC3;#N/A
770;PSMC1;#N/A
771;PRKCD;#N/A
772;C5;#N/A
773;PRKAA2;#N/A
774;CAP1;#N/A
775;NR5A1;#N/A
776;PLCB3;#N/A
777;NTM;#N/A
778;ITPR1;#N/A
779;C3;#N/A
780;ELK1;#N/A
781;GNAI3;#N/A
782;CCL4;#N/A
783;IL2RA;#N/A
784;PPP3CC;#N/A
785;HLA-DQB1;#N/A
786;ITGAM;#N/A
787;NRG4;#N/A
788;JUP;#N/A
789;NTRK1;x
790;SPRR1B;#N/A
791;B2M;x
792;TRAF5;x
793;PSMD14;#N/A
794;ADRB2;#N/A
795;MCL1;x
796;SCIN;#N/A
797;XIAP;x
798;ATM;x
799;NFATC2;#N/A
800;MAP3K14;x
801;CCL20;#N/A
802;SP1;#N/A
803;STAT6;x
804;BTRC;#N/A
805;MAVS;#N/A
806;TEK;#N/A
807;C19orf33;#N/A
808;TNFRSF10A;#N/A
809;DVL3;#N/A
810;BMP4;#N/A
811;TSC1;x
812;FRMD3;#N/A
813;LAT;#N/A
814;CHI3L1;#N/A
815;PSMD4;#N/A
816;BGN;#N/A
817;KSR1;#N/A
818;PSEN1;#N/A
819;DDX58;#N/A
820;CD36;#N/A
821;RAC3;#N/A
822;HSPA8;#N/A
823;GNAQ;x
824;WNT4;#N/A
825;HLA-DPB1;#N/A
826;CCND3;x
827;IRF7;#N/A
828;CCND2;x
829;PSMD2;#N/A
830;CALR;x
831;RALGDS;#N/A
832;PPP1CC;#N/A
833;HLA-DRB5;#N/A
834;ABL1;x
835;DDB2;x
836;ARNTL;#N/A
837;GATA3;x
838;PSMD11;#N/A
839;ESR2;#N/A
840;OSMR;#N/A
841;HLA-DRA;#N/A
842;SNW1;#N/A
843;IL17A;#N/A
844;OSM;#N/A
845;CD28;x
846;IL1R2;#N/A
847;BCL6;x
848;CSF3R;x
849;CSNK1A1;#N/A
850;FZD4;#N/A
851;PSMA2;#N/A
852;PAK2;#N/A
853;PXDN;#N/A
854;TACSTD2;#N/A
855;PSMD13;#N/A
856;CDK5;#N/A
857;KRT6A;#N/A
858;PPP1CB;#N/A
859;SPRY2;#N/A
860;RARA;#N/A
861;HLA-G;#N/A
862;IL3RA;#N/A
863;PSMC2;#N/A
864;ACTR2;#N/A
865;PSMC6;#N/A
866;IRF9;#N/A
867;PSMB1;#N/A
868;GNAI1;#N/A
869;WNT2;#N/A
870;FGA;#N/A
871;TRIM54;#N/A
872;DLG1;#N/A
873;PSMD6;#N/A
874;ELMO1;#N/A
875;PSMC4;#N/A
876;PRKAG1;#N/A
877;VHL;x
878;KITLG;#N/A
879;CSK;#N/A
880;PSMD8;#N/A
881;PXN;#N/A
882;PSMA1;#N/A
883;PSMD3;#N/A
884;PMS2;x
885;POLK;#N/A
886;DYNLL1;#N/A
887;VAV3;#N/A
888;PSMA6;#N/A
889;HLA-F;#N/A
890;PSMD12;#N/A
891;NFATC3;#N/A
892;CD44;#N/A
893;TLR6;#N/A
894;FBN1;#N/A
895;FZD5;#N/A
896;GRM1;#N/A
897;PHB;#N/A
898;LRP4;#N/A
899;CFLAR;#N/A
900;BCL10;x
901;HLA-DOB;#N/A
902;HLA-DOA;#N/A
903;PSMB3;#N/A
904;FGB;#N/A
905;PPP2R5D;#N/A
906;CPNE4;#N/A
907;VCL;#N/A
908;ITPR3;#N/A
909;ARHGAP23;#N/A
910;PSMB7;#N/A
911;PSMA4;#N/A
912;WNT1;#N/A
913;VAV2;x
914;IL33;#N/A
915;HCK;#N/A
916;IL13;#N/A
917;SMARCA4;x
918;TNFRSF10B;#N/A
919;HES1;#N/A
920;PSMA7;#N/A
921;KDM5B;#N/A
922;PSMD9;#N/A
923;FGG;#N/A
924;PSMB4;#N/A
925;RARB;#N/A
926;GNB1;x
927;BMP2;#N/A
928;DDR2;x
929;ITPR2;#N/A
930;TNFSF11;#N/A
931;ILK;#N/A
932;TCF7;#N/A
933;BCAR1;#N/A
934;PSMA3;#N/A
935;FZD8;#N/A
936;UBE2I;#N/A
937;NGF;#N/A
938;TWIST1;#N/A
939;MARK3;#N/A
940;ALB;#N/A
941;P2RY1;#N/A
942;LIF;#N/A
943;RBCK1;#N/A
944;ITGA5;#N/A
945;HSP90B1;#N/A
946;TNFAIP6;#N/A
947;IL10RA;#N/A
948;PSMA5;#N/A
949;IL15;#N/A
950;COL1A2;#N/A
951;CCL7;#N/A
952;IL10RB;#N/A
953;DDIT3;#N/A
954;LBP;#N/A
955;CTBP1;#N/A
956;JUNB;#N/A
957;RPS6KA5;#N/A
958;EIF4EBP1;#N/A
959;PSMB6;#N/A
960;PSMB5;#N/A
961;RAPGEF1;#N/A
962;GAS6;#N/A
963;CXCL12;#N/A
964;PSMB2;x
965;PDGFC;#N/A
966;BIRC5;#N/A
967;IL4R;#N/A
968;KDM1A;#N/A
969;NF1;x
970;SOD2;#N/A
971;YES1;x
972;RPS6KA1;#N/A
973;PRKAB1;#N/A
974;WNT7A;#N/A
975;SOCS1;x
976;PELI1;#N/A
977;CCNE2;#N/A
978;FLNA;#N/A
979;RXRB;#N/A
980;CXCR2;#N/A
981;TLN1;#N/A
982;IL5RA;#N/A
983;RANBP9;#N/A
984;CCR2;#N/A
985;WNT3;#N/A
986;RASGRP1;#N/A
987;RPTOR;x
988;HMOX1;#N/A
989;RALA;#N/A
990;SDC1;#N/A
991;EIF2AK3;#N/A
992;DVL1;#N/A
993;PSG1;#N/A
994;LAMA5;#N/A
995;MAPKAPK3;#N/A
996;DRD1;#N/A
997;FZD1;#N/A
998;RPS6;#N/A
999;FZD6;#N/A
1000;FZD7;#N/A
1001;PSME3;#N/A
1002;PPP2R5C;#N/A
1003;CREB3;#N/A
1004;RNF31;#N/A
1005;HDAC3;#N/A
1006;BRCA1;x
1007;ADCY6;#N/A
1008;VWF;#N/A
1009;CD40LG;#N/A
1010;NOS3;#N/A
1011;FAM43A;#N/A
1012;WNT16;#N/A
1013;ADCY9;#N/A
1014;ADAM17;#N/A
1015;PTPN12;#N/A
1016;RBFOX1;#N/A
1017;MYH9;#N/A
1018;ADCY3;#N/A
1019;EGR1;x
1020;DUSP7;#N/A
1021;RHOG;#N/A
1022;PSMB9;#N/A
1023;PSMD10;#N/A
1024;WNT11;#N/A
1025;POU2F1;#N/A
1026;WNT10B;#N/A
1027;CFTR;#N/A
1028;ADCY5;#N/A
1029;FLT4;x
1030;NOTCH2;x
1031;CCNA2;#N/A
1032;EDN1;#N/A
1033;FAM83A;#N/A
1034;VIM;#N/A
1035;ISG15;#N/A
1036;GNB3;#N/A
1037;IRF1;x
1038;PRKAB2;#N/A
1039;F2;#N/A
1040;TNFRSF11A;#N/A
1041;TUBA1C;#N/A
1042;HEY1;#N/A
1043;NCOR1;x
1044;AXIN2;x
1045;IL23R;#N/A
1046;PRKCQ;#N/A
1047;NOX4;#N/A
1048;PRKAG2;#N/A
1049;YWHAE;#N/A
1050;PIK3C3;#N/A
1051;VDAC3;#N/A
1052;NCK1;#N/A
1053;CAV1;#N/A
1054;PPARA;#N/A
1055;PPP2R5A;#N/A
1056;SHARPIN;#N/A
1057;KIF5B;#N/A
1058;CD109;#N/A
1059;ITCH;#N/A
1060;PSMB10;#N/A
1061;PTPN1;x
1062;VCP;#N/A
1063;ANGPT1;#N/A
1064;CXCR4;x
1065;BTK;x
1066;GNB2;#N/A
1067;GNB4;#N/A
1068;NKX3-1;x
1069;IL7R;x
1070;FCER2;#N/A
1071;S1PR1;#N/A
1072;CASP7;#N/A
1073;PPP2R5E;#N/A
1074;CYBA;#N/A
1075;FZD2;#N/A
1076;C4orf17;#N/A
1077;PSMD5;#N/A
1078;HES5;#N/A
1079;POMC;#N/A
1080;PPP2R5B;#N/A
1081;GNG12;#N/A
1082;IL13RA1;#N/A
1083;SRF;#N/A
1084;IL11;#N/A
1085;PSMF1;#N/A
1086;IL7;#N/A
1087;MAPK7;#N/A
1088;ARF1;#N/A
1089;RPS6KA3;#N/A
1090;NLRC4;#N/A
1091;PIK3CG;x
1092;MAP3K11;#N/A
1093;GRAP2;#N/A
1094;KAT2B;#N/A
1095;CD3E;#N/A
1096;ARX;#N/A
1097;IGF2;x
1098;PSME1;#N/A
1099;PRKAG3;#N/A
1100;IL12RB1;#N/A
1101;PSMB8;#N/A
1102;H3C2;#N/A
1103;PSME2;#N/A
1104;CLEC7A;#N/A
1105;ANXA1;#N/A
1106;CD74;x
1107;ANXA2;#N/A
1108;APBB1IP;#N/A
1109;PSME4;#N/A
1110;ELMO2;#N/A
1111;RBPJ;#N/A
1112;YWHAQ;#N/A
1113;ZEB1;#N/A
1114;CEBPB;#N/A
1115;RPS6KA2;#N/A
1116;HDAC4;x
1117;FZD3;#N/A
1118;NR3C1;#N/A
1119;IL18R1;#N/A
1120;TUBA1A;#N/A
1121;RELB;#N/A
1122;RORA;#N/A
1123;SUMO1;#N/A
1124;SOX2;x
1125;TNFSF4;#N/A
1126;SPTBN1;#N/A
1127;MAP3K3;#N/A
1128;OPRD1;#N/A
1129;GNGT1;#N/A
1130;CUL3;x
1131;PTGER3;#N/A
1132;CSNK2A1;#N/A
1133;ARF6;#N/A
1134;GNG3;#N/A
1135;GNA13;x
1136;ITGA4;#N/A
1137;LTA;#N/A
1138;CXCL5;#N/A
1139;S100A10;#N/A
1140;OAS3;#N/A
1141;RRAGB;#N/A
1142;SKP2;#N/A
1143;ALOX5;#N/A
1144;TICAM2;#N/A
1145;PPARD;#N/A
1146;DOCK1;#N/A
1147;NCF1;#N/A
